Index #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle  OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Max Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Max Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI-150,ISI-150,Melasta,Lithium Iron Phosphate,LithiumIronPhosphate,PrismaticCase,MB-LithiumIronPhosphate-32173128,Active,PrismaticCase,2000,80,'Nan','Nan',60,3.65,3.2,2,12,180,0.2,1410,,120,12,0.2,'Nan',173,32,124,'Nan',,x,,-,,CC-CV,0.02,80
ISI-151,ISI-151,Melasta,Lithium Iron Phosphate,LithiumIronPhosphate,CylindricalCase,MB-IFR26650,Active,CylindricalCase,2000,80,'Nan','Nan',3.8,3.65,3.2,2,0.76,11.4,0.2,92,,3.8,0.76,0.2,'Nan','Nan',65.2,,26.5,,x,,-,,CC-CV,0.02,80
ISI-152,ISI-152,Melasta,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPBB042126,Active,PrismaticCase,100,80,'Nan','Nan',6.55,4.2,3.7,2.5,1.31,98.25,15,126,,13.1,1.31,0.5,'Nan',127,10.2,42,'Nan',,x,,-,,CC-CV,0.02,80
ISI-153,ISI-153,Kokam,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,SLPB70205130P,Active,PrismaticCase,1400,80,'Nan','Nan',12,4.2,3.7,2.7,12,180,0.5,345,,36,12,0.5,'Nan',208,130,7,'Nan',2011,x,,28.04.2011,,CC-CV,0.05,80
ISI-154,ISI-154,Saft,,,PrismaticCase,INT 176065 ISR FL,Active,PrismaticCase,2250,'Nan','Nan','Nan',5.6,4.2,3.65,2.5,2.8,11,0.5,155,,5.6,5.6,1,'Nan',63,74,20.6,'Nan',2020,x,,12.2020,,CC-CV,'Nan',100
ISI-155,ISI-155,Saft,,,PrismaticCase,MP 144350 XLR,Active,PrismaticCase,1100,'Nan',335,142,2.6,4.2,3.65,2.5,1.3,5,0.5,66,,2.6,2.6,1,'Nan',42.9,50.1,14.5,'Nan',2018,x,,04.2018,,CC-CV,'Nan',100
ISI-156,ISI-156,Saft,,,PrismaticCase,MP 176065 ISE,Active,PrismaticCase,1000,'Nan',264,150,5.6,4.2,3.65,2.5,2.8,11,0.5,135,,5.6,5.6,0.5,'Nan',60.5,68.7,19.05,'Nan',2019,x,,07.2009,,CC-CV,'Nan',100
ISI-157a,ISI-157,Gaia,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HP 602030,Active,CylindricalCase,1000,80,282,108,45,4.2,3.6,3,90,450,0.5,1500,,180,45,0.5,'Nan','Nan',232,,60,2009,x,,06.2009,,CC-CV,'Nan',80
ISI-157b,ISI-157,Gaia,Nickel rich,LithiumNickelCobaltAluminiumOxide,CylindricalCase,HP 602030,Active,CylindricalCase,2000,60,282,108,45,4.2,3.6,3,90,450,0.5,1500,,180,45,0.5,'Nan','Nan',232,,60,2009,x,,06.2009,,CC-CV,'Nan',60
ISI-158,ISI-158,Keeppower,,,CylindricalCase,NH2140,Active,CylindricalCase,500,70,'Nan','Nan',4,4.2,3.7,2.5,0.8,35,'Nan',69,,4,0.05,'Nan','Nan','Nan',70.3,,21.5,,x,,-,,CC-CV,'Nan','Nan'
ISI-159a,ISI-159,Panasonic,,,CylindricalCase,NCR18650BF,Active,CylindricalCase,500,80,677,248,3.35,4.2,3.6,2.5,3.25,3.25,1,46.5,,1.625,1.625,0.5,'Nan','Nan',65.1,,18.24,,x,,-,,CC-CV,0.02,'Nan'
ISI-160a,ISI-160,Panasonic,Nickel rich,LithiumNickelCobaltAluminiumOxide,PrismaticCase,NCA596080,Active,PrismaticCase,300,80,506,212,4.179,4.2,3.6,2.75,3.94,3.94,0.5,67,,2.758,2.758,0.8,'Nan',60,80,5.85,'Nan',,x,,-,,CC-CV,'Nan','Nan'
ISI-160b,ISI-160,Panasonic,Nickel rich,LithiumNickelCobaltAluminiumOxide,PrismaticCase,NCA596080,Active,PrismaticCase,300,80,506,212,3.95,4.2,3.6,2.75,3.94,3.94,0.5,67,,2.758,2.758,0.8,'Nan',60,80,5.85,'Nan',,x,,-,,CC-CV,'Nan','Nan'
ISI-161,ISI-161,Samsung,Nickel rich,LithiumNickelManganeseCobaltOxide,CylindricalCase,INR21700-30T,Active,CylindricalCase,250,60,'Nan','Nan',3,4.2,3.6,2.5,0.6,35,12,69,,4,1.5,1.5,'Nan','Nan',70.3,,21.22,,x,,Version No. 2.0,,CC-CV,'Nan','Nan'
ISI-162,ISI-162,Hypercell,,,CylindricalCase,NCR20700,Active,CylindricalCase,300,70,'Nan','Nan',4.25,4.25,3.6,2.5,0.85,3.4,'Nan',70,,4.05,2.125,'Nan','Nan','Nan',74,,20.5,2018,x,,29.09.2018,,CC-CV,0.02,'Nan'
ISI-163,ISI-163,Panasonic,,,PouchCase,UPF673791,Active,PrismaticCase,500,80,449,202,2.9,4.2,3.7,2.75,2.9,2.9,1,51,,2.9,2.9,1,'Nan',37.3,91.7,6.7,'Nan',,x,,-,,CC-CV,0.02,'Nan'
ISI-164,ISI-164,Kokam,,,PouchCase,SLPB65216216,Active,PrismaticCase,800,80,'Nan','Nan',30,4.2,3.7,2.7,30,150,0.5,700,,30,30,0.5,'Nan',220,215,6.8,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-165,ISI-165,Kokam,,,PouchCase,SLPB90216216,Active,PrismaticCase,800,80,'Nan','Nan',40,4.2,3.7,2.7,40,200,0.5,935,,40,40,0.5,'Nan',220,215,9,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-166,ISI-166,Kokam,,,PouchCase,SLPB53460330,Active,PrismaticCase,800,80,'Nan','Nan',70,4.2,3.7,2.7,70,350,0.5,1700,,70,70,0.5,'Nan',325,455,5.3,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-167,ISI-167,Kokam,,,PouchCase,SLPB30205130H,Active,PrismaticCase,800,80,'Nan','Nan',5,4.2,3.7,2.7,25,50,0.5,164,,10,10,0.5,'Nan',130,206,3.1,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-168,ISI-168,Kokam,,,PouchCase,SLPB41205130H,Active,PrismaticCase,800,80,'Nan','Nan',7.5,4.2,3.7,2.7,37.5,75,0.5,226,,15,15,0.5,'Nan',130,206,4.2,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-169,ISI-169,Kokam,,,PouchCase,SLPB11043140H,Active,PrismaticCase,500,80,'Nan','Nan',4.8,4.2,3.7,2.7,96,192,0.5,115,,14.4,14.4,0.5,'Nan',140,42.5,11,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-170,ISI-170,Kokam,,,PouchCase,SLPB45205130P,Active,PrismaticCase,800,80,'Nan','Nan',7.2,4.2,3.7,2.7,14.4,144,0.5,226,,21.6,21.6,0.5,'Nan',130,206,4.5,'Nan',,x,,-,,CC-CV,'Nan',80
ISI-171,ISI-171,ENERTECH,Nickel rich,LithiumNickelManganeseCobaltOxide and LithiumNickelCobaltAluminiumOxide,PouchCase,SPB 58253172P4,Active,PrismaticCase,2000,80,366,185,25,4.2,3.7,2.7,12.5,75,1,500,,125,12.5,1,'Nan',253,5.8,172,'Nan',2020,x,,-,,CC-CV,'Nan','Nan'
ISI-172,ISI-172,Amita Technologies,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,120155250NH - NH04,Active,PrismaticCase,3000,80,398,199,50,4.2,3.7,2.8,9,180,1,930,,180,9,3,'Nan',251,12.5,157,'Nan',2020,x,,18.06.2020,,CC-CV,0.05,'Nan'
ISI-173,ISI-173,BMZ_TerraE,Nickel rich,,CylindricalCase,INR 21700 58 E,Active,CylindricalCase,800,80,'Nan','Nan',5.7,4.2,3.6,2.75,1.14,15,1,75,,5.7,1.14,0.5,'Nan','Nan',70.9,,21.7,2022,x,x,24.02.2022,,CC-CV,0.02,'Nan'
ISI-174,ISI-174,Yinglong,Lithium Titanate,LithiumTitanate,CylindricalCase,LithiumTitanate 9Ah,Active,CylindricalCase,16000,80,170,76,9,2.7,2.3,1.5,1.8,90,1,270,,90,1.8,1,'Nan','Nan',140,,33.2,2022,x,,,,CC-CV,'Nan','Nan'
ISI-175,ISI-175,Yinglong,Lithium Titanate,LithiumTitanate,CylindricalCase,LithiumTitanate 40Ah,Active,CylindricalCase,25000,80,128,76,40,2.7,2.3,1.5,8,240,1,1210,,240,8,1,'Nan','Nan',161,,66,2022,x,,,,CC-CV,'Nan','Nan'
ISI-176,ISI-176,Yinglong,Lithium Titanate,LithiumTitanate,CylindricalCase,LithiumTitanate 45Ah,Active,CylindricalCase,25000,80,144,80,45,2.7,2.3,1.5,9,225,1,1270,,225,9,1,'Nan','Nan',161,,66,2022,x,,,,CC-CV,'Nan','Nan'
ISI-177,ISI-177,Yinglong,Lithium Titanate,LithiumTitanate,PrismaticCase,LithiumTitanate 30Ah,Active,PrismaticCase,16000,80,152,67,30,2.7,2.3,1.5,6,180,1,1030,,180,6,1,'Nan','Nan',173,28.5,97,2022,x,,,,CC-CV,'Nan','Nan'
ISI-178,ISI-178,Yinglong,Lithium Titanate,LithiumTitanate,PrismaticCase,LithiumTitanate 33Ah,Active,PrismaticCase,16000,80,142,61,33,2.7,2.3,1.5,6.6,198,1,1245,,198,6.6,1,'Nan','Nan',205,21,130,2022,x,,,,CC-CV,'Nan','Nan'
ISI-179,ISI-179,Yinglong,Lithium Titanate,LithiumTitanate,PouchCase,LithiumTitanate 68Ah,Active,PrismaticCase,25000,80,182,81,68,2.7,2.3,1.5,13.6,476,1,1880,,476,13.6,1,'Nan','Nan',263,12.6,256,2022,x,,,,CC-CV,'Nan','Nan'
ISI-180,ISI-180,ELERIX,Lithium Titanate,LithiumTitanate,PrismaticCase,EX-T30K,Active,PrismaticCase,16000,80,147,68,30,2.7,2.3,1.5,6,180,1,1030,,180,6,1,'Nan','Nan',173,28,97,2022,x,,,,CC-CV,'Nan','Nan'
ISI-183,ISI-183,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,D11,Active,PrismaticCase,3000,80,'Nan',210,43,4.2,3.63,2.7,8.6,137.6,'Nan',743,,43,8.6,'Nan','Nan',188,10.8,174,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-184,ISI-184,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,D12,Active,PrismaticCase,3000,80,'Nan',200,30,4.2,3.68,2.7,6,90,'Nan',552,,30,6,'Nan','Nan',227,7.2,165,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-185,ISI-185,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,D13,Active,PrismaticCase,3000,80,'Nan',235,51,4.2,3.7,2.7,10.2,102,'Nan',800,,51,10.2,'Nan','Nan',227,10.5,165,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-186,ISI-186,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PouchCase,D21,Active,PrismaticCase,3000,80,'Nan',260,52,4.2,3.7,2.7,10.4,104,'Nan',740,,52,10.4,'Nan','Nan',305,11.5,102,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-187,ISI-187,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,INP42P,Active,PrismaticCase,2000,80,'Nan','Nan',42,4.2,3.65,2.7,8.4,84,1,740,,42,8.4,1,'Nan',148,27,97,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-188,ISI-188,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,INP50E,Active,PrismaticCase,2000,80,'Nan','Nan',50,4.2,3.65,2.7,10,100,1,880,,50,10,1,'Nan',148,27,97,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-189,ISI-189,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,INP60E,Active,PrismaticCase,2000,80,'Nan','Nan',60,4.2,3.65,2.7,12,120,1,870,,60,12,1,'Nan',148,27,97,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
ISI-190,ISI-190,EVE Energy,Nickel rich,LithiumNickelManganeseCobaltOxide,PrismaticCase,INP72P,Active,PrismaticCase,2000,80,'Nan','Nan',72,4.2,3.65,2.7,14.4,144,1,1300,,72,14.4,1,'Nan',148,39,97,'Nan',2022,,x,,,CC-CV,'Nan','Nan'
