manufacturer;model;wikidata;source;Type;Case;Mass;Diameter;Height;Thickness;Width;NominalVoltage;NominalCapacity;LowerVoltageLimit;UpperVoltageLimit;MaximumChargeCurrent;MaximumDischargeCurrent
Panasonic;UPF359191Z;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UPF359191Z;LithiumIonBattery;;0,0656;;90,7;3,52;91;3,85;4,67;;;;
Panasonic;UPF4564124ZB;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UPF4564124ZB;LithiumIonBattery;;0,0181;;123,2;4,5;63,6;3,85;6;;;;
Panasonic;UPF496171Z;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UPF496171Z;LithiumIonBattery;;0,0474;;70,8;4,9;60,5;3,85;3,55;;;;
Panasonic;UR14500AC;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UR14500AC;LithiumIonBattery;;0,0196;14,3;49,5;;;3,6;0,8;;;;
Panasonic;UR18650AA;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UR18650AA;LithiumIonBattery;;0,0431;18,5;65,1;;;3,6;2,25;;;;
Panasonic;UR18650RX;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UR18650RX;LithiumIonBattery;;0,0475;18,5;65,3;;;3,6;2,05;;;;
Panasonic;UR1865ZM2;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UR1865ZM2;LithiumIonBattery;;0,0464;18,5;65,3;;;3,6;2,55;;;;
Panasonic;UR1865ZP;;https://industrial.panasonic.com/ww/products/pt/lithium-ion/models/UR1865ZP;LithiumIonBattery;;0,0469;18,5;65,3;;;3,6;2,6;;;;
Panasonic;BK-10V10T;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK-10V10T;NickelMetalHydrideBattery;;23;;;;;1,2;90;;;;
Panasonic;BK-10V1S;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK-10V1S;NickelMetalHydrideBattery;;1,7;;;;;1,2;90;;;;
Panasonic;BK1100FHU;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK1100FHU;NickelMetalHydrideBattery;;0,245;;;;;1,2;11;;;;
Panasonic;BK110AAH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK110AAH;NickelMetalHydrideBattery;;0,024;;;;;1,2;1,1;;;;
Panasonic;BK110AAO;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK110AAO;NickelMetalHydrideBattery;;0,024;;;;;1,2;1,1;;;;
Panasonic;BK120AAHU;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK120AAHU;NickelMetalHydrideBattery;;0,024;;;;;1,2;1,2;;;;
Panasonic;BK150AA;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK150AA;NickelMetalHydrideBattery;;0,025;;;;;1,2;1,5;;;;
Panasonic;BK150AAH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK150AAH;NickelMetalHydrideBattery;;0,025;;;;;1,2;1,45;;;;
Panasonic;BK160AH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK160AH;NickelMetalHydrideBattery;;0,029;;;;;1,2;1,6;;;;
Panasonic;BK200A;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK200A;NickelMetalHydrideBattery;;0,032;;;;;1,2;2;;;;
Panasonic;BK200AAB;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK200AAB;NickelMetalHydrideBattery;;0,028;;;;;1,2;1,9;;;;
Panasonic;BK200AAP;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK200AAP;NickelMetalHydrideBattery;;0,028;;;;;1,2;1,9;;;;
Panasonic;BK210A;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK210A;NickelMetalHydrideBattery;;0,036;;;;;1,2;2,1;;;;
Panasonic;BK210AH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK210AH;NickelMetalHydrideBattery;;0,035;;;;;1,2;1,9;;;;
Panasonic;BK220SCHU;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK220SCHU;NickelMetalHydrideBattery;;0,052;;;;;1,2;2,2;;;;
Panasonic;BK250A;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK250A;NickelMetalHydrideBattery;;0,037;;;;;1,2;2,45;;;;
Panasonic;BK250SCH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK250SCH;NickelMetalHydrideBattery;;0,053;;;;;;2,5;;;;
Panasonic;BK260SCP;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK260SCP;NickelMetalHydrideBattery;;0,055;;;;;;2,45;;;;
Panasonic;BK300SCP;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK300SCP;NickelMetalHydrideBattery;;0,057;;;;;;2,8;;;;
Panasonic;BK310CHU;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK310CHU;NickelMetalHydrideBattery;;0,078;;;;;1,2;3,1;;;;
Panasonic;BK330APH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK330APH;NickelMetalHydrideBattery;;0,059;;;;;1,2;3,2;;;;
Panasonic;BK370AH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK370AH;NickelMetalHydrideBattery;;0,06;;;;;1,2;3,5;;;;
Panasonic;BK380A;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK380A;NickelMetalHydrideBattery;;0,053;;;;;1,2;3,7;;;;
Panasonic;BK450A;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK450A;NickelMetalHydrideBattery;;0,061;;;;;1,2;4,2;;;;
Panasonic;BK60AAAHU;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK60AAAHU;NickelMetalHydrideBattery;;0,012;;;;;1,2;0,5;;;;
Panasonic;BK60AAAWS;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK60AAAWS;NickelMetalHydrideBattery;;0,011;;;;;1,2;0,5;;;;
Panasonic;BK70AA;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK70AA;NickelMetalHydrideBattery;;0,018;;;;;1,2;0,7;;;;
Panasonic;BK70AAAJ;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK70AAAJ;NickelMetalHydrideBattery;;0,012;;;;;1,2;0,7;;;;
Panasonic;BK70AAH;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK70AAH;NickelMetalHydrideBattery;;0,018;;;;;1,2;0,7;;;;
Panasonic;BK80AAAB;;https://industrial.panasonic.com/ww/products/pt/nickel-metal/models/BK80AAAB;NickelMetalHydrideBattery;;0,012;;;;;1,2;0,75;;;;
